total_tx,success_tx,success_rate,realized_tps,avg_latency,p95_latency,latency_variance,avg_gas_used,total_gas_used,gas_std_dev,avg_block_time,energy_joule_total,energy_per_tx,algorithm,scenario
6000,6000,1.0,35.294117647058826,14.8175,34.0,80.41592973828972,46443.56,278661360,10.48354508040619,22.5,2550.0,0.425,poa,poa_100tps
30000,30000,1.0,54.054054054054056,12.566333333333333,24.0,37.269175528073156,46463.112,1393893360,13.474179299073944,20.0,8325.0,0.2775,poa,poa_500tps
3000,3000,1.0,28.571428571428573,12.256666666666666,24.0,34.63900188951873,46439.12,139317360,13.431520213478507,20.0,1575.0,0.525,poa,poa_50tps
6000,6000,1.0,25.210084033613445,57.82566666666666,142.0,1925.1948070233927,46443.56,278661360,10.48354508040619,92.66666666666667,3570.0,0.595,pow,pow_100tps
30000,30000,1.0,37.12871287128713,231.0807,366.0,10508.585607030234,46463.112,1393893360,13.474179299073944,50.0,12120.0,0.404,pow,pow_500tps
3000,3000,1.0,22.727272727272727,41.39533333333333,66.0,444.5659001889519,46439.12,139317360,13.431520213478507,35.0,1980.0,0.66,pow,pow_50tps
6000,6000,1.0,30.927835051546392,3.949333333333333,13.0,35.808400955714845,46443.56,278661360,10.48354508040619,3.9574468085106385,2910.0,0.485,pos,pos_100tps
30000,30000,1.0,37.735849056603776,3.5755,13.0,21.567351995066502,46463.112,1393893360,13.474179299073944,4.040201005025126,11925.0,0.3975,pos,pos_500tps
3000,3000,1.0,23.62204724409449,3.2706666666666666,12.0,13.932050238968545,46439.12,139317360,13.431520213478507,3.2777777777777777,1905.0,0.635,pos,pos_50tps
