algorithm,scenario,norm_latency,norm_p95,norm_tps,norm_energy
POA,poa_100tps,0.9043823867283574,0.8940677966101694,0.41103806228373707,0.6029411764705883
POA,poa_500tps,0.913275980967183,0.9194915254237288,0.95,0.95
POA,poa_50tps,0.9144993686991544,0.9194915254237288,0.21789915966386558,0.3676470588235294
POW,pow_100tps,0.7344717404164668,0.6194915254237288,0.12132970835392981,0.20294117647058832
POW,pow_500tps,0.050000000000000044,0.050000000000000044,0.46374490390215484,0.6523529411764706
POW,pow_50tps,0.7993824020920354,0.8127118644067796,0.04999999999999999,0.04999999999999999
POS,pos_100tps,0.9473188187058192,0.947457627118644,0.2855973317161916,0.461764705882353
POS,pos_500tps,0.9487957071249861,0.947457627118644,0.4811875693673696,0.6676470588235295
POS,pos_50tps,0.95,0.95,0.07570634553033811,0.10882352941176471
