algorithm,scenario,suitability_score
POA,poa_100tps,0.7499459039380005
POA,poa_500tps,0.8108879395039433
POA,poa_50tps,0.5109983525153071
POW,pow_100tps,0.3882672894062617
POW,pow_500tps,0.4471784306764244
POW,pow_50tps,0.3936935484410992
POS,pos_100tps,0.5958762765990676
POS,pos_500tps,0.7566962300063768
POS,pos_50tps,0.443466020181148
