algorithm,scenario,suitability_score
POA,poa_100tps,0.5587672356659925
POA,poa_500tps,0.6225789863329295
POA,poa_50tps,0.4818582105947896
POW,pow_100tps,0.3250977243418442
POW,pow_500tps,0.4130470417589837
POW,pow_50tps,0.4134325159454931
POS,pos_100tps,0.5204416573418129
POS,pos_500tps,0.5650639827075117
POS,pos_50tps,0.4456706989341961
