algorithm,scenario,suitability_score
POA,poa_100tps,0.621710567585987
POA,poa_500tps,0.8103333936970032
POA,poa_50tps,0.6042297335946729
POW,pow_100tps,0.3917247206543315
POW,pow_500tps,0.4110976608353117
POW,pow_50tps,0.475917815334538
POS,pos_100tps,0.6489189050162575
POS,pos_500tps,0.618442924922006
POS,pos_50tps,0.5386188328642444
