algorithm,scenario,W,p_value
POA,poa_50tps,0.9060680107091957,1.4194406065980167e-39
POS,pos_50tps,0.8165605902825582,4.1335372299482354e-50
POW,pow_50tps,0.8909213038474824,8.140094125525897e-42
