algorithm,scenario,weighted_score
POA,poa_100tps,0.7155865881330887
POA,poa_500tps,0.9809789993054452
POA,poa_50tps,0.6079414170648418
POW,pow_100tps,0.41247441667775825
POW,pow_500tps,0.2717711771177117
POW,pow_50tps,0.41928565945440727
POS,pos_100tps,0.6685770130297807
POS,pos_500tps,0.7800176890401571
POS,pos_50tps,0.5216406772682826
