algorithm,scenario,fuzzy_performance
POA,poa_100tps,0.40002671090479414
POA,poa_500tps,0.9326499274004387
POA,poa_50tps,0.359683236059468
POW,pow_100tps,0.1679803774637079
POW,pow_500tps,0.10004790588667083
POW,pow_50tps,0.25754701405589303
POS,pos_100tps,0.4000353008930077
POS,pos_500tps,0.40002041251285303
POS,pos_50tps,0.2748772019156077
